model,predictor,beta,se,t,p,partial_R2,full_R2,n_pairs
xlm-roberta-base,same_radical,0.003907384348551515,0.00031257272324650403,12.50072081776002,7.629894782616586e-36,0.0007784894557920641,0.003673318756732047,200000
xlm-roberta-base,ppmi,0.006954656822691557,0.0003038540676343569,22.888147842932455,8.599191327576643e-116,0.0026097801447928504,0.003673318756732047,200000
xlm-roberta-base,freq_diff,5.803275775611622e-05,0.0003141919334493603,0.18470479849371949,0.8534607695692529,1.6995696983101993e-07,0.003673318756732047,200000
xlm-roberta-base,stroke_diff,-0.0017122540123389496,0.00030542176092691485,-5.60619520738301,2.0709426875038464e-08,0.0001565737863847838,0.003673318756732047,200000
bert-base-multilingual-cased,same_radical,0.00683948084969958,0.0004480888217885163,15.263672105008677,1.4296748761073756e-52,0.0011630094627309573,0.0016465325228763872,200000
bert-base-multilingual-cased,ppmi,-0.0012523697555812778,0.0004355901876138833,-2.8751101177040423,0.004039292136276284,4.1264269236895856e-05,0.0016465325228763872,200000
bert-base-multilingual-cased,freq_diff,-8.230751728100888e-05,0.0004504100415817534,-0.18273908146443787,0.855002934706552,1.6669710944938743e-07,0.0016465325228763872,200000
bert-base-multilingual-cased,stroke_diff,-0.0036643393122383046,0.0004378375553083256,-8.369175434614954,5.83898144022738e-17,0.00034964758727695777,0.0016465325228763872,200000
cl-tohoku/bert-base-japanese-char-v3,same_radical,0.010062118380979493,0.0008201559703003285,12.268542503317875,1.3752556457810113e-34,0.0007475971797439307,0.006653310214661312,200000
cl-tohoku/bert-base-japanese-char-v3,ppmi,-0.021478163778852276,0.0007972791902056824,-26.93932570008673,1.4699545970575073e-159,0.003604584017212087,0.006653310214661312,200000
cl-tohoku/bert-base-japanese-char-v3,freq_diff,0.011979519771711439,0.0008244045973118304,14.531117136868895,8.140550672035046e-48,0.0010487687012353808,0.006653310214661312,200000
cl-tohoku/bert-base-japanese-char-v3,stroke_diff,-0.016148000433301977,0.0008013926425892968,-20.14992348959911,3.3145254345546264e-90,0.002016640633538902,0.006653310214661312,200000
glyph_only/resnet18,same_radical,0.026788188089453636,0.00031745469483136356,84.38428703561591,0.0,0.03383855964648996,0.04959691747549766,200000
glyph_only/resnet18,ppmi,0.0010618227776639148,0.0003085998653761677,3.440775245866055,0.0005801685154966083,5.626020473248339e-05,0.04959691747549766,200000
glyph_only/resnet18,freq_diff,-0.0024784293230681056,0.00031909919495113313,-7.766955737533754,8.077349440918197e-15,0.00028667535464887983,0.04959691747549766,200000
glyph_only/resnet18,stroke_diff,-0.014640206736859448,0.00031019204395979185,-47.19723481611012,0.0,0.0105857542625023,0.04959691747549766,200000
hfl/chinese-bert-wwm-ext,same_radical,0.007113394825930426,0.0002482652930523167,28.652393326808784,3.474638152027855e-180,0.004049580579819523,0.01347663722906367,200000
hfl/chinese-bert-wwm-ext,ppmi,0.009765463064942224,0.0002413403778898861,40.463444825622226,0.0,0.008076327902394542,0.01347663722906367,200000
hfl/chinese-bert-wwm-ext,freq_diff,-0.0006418395627794839,0.00024955137358855206,-2.571973672393874,0.010112773223193532,3.263031556621776e-05,0.01347663722906367,200000
hfl/chinese-bert-wwm-ext,stroke_diff,-0.002534259294655732,0.0002425855403936728,-10.446868723268024,1.5375557843417642e-25,0.000538344785983691,0.01347663722906367,200000
